code_transaction,code_transaction_,dates,status_transaction,status_v3,operateur,reference_fact,reference_contrat,MONTANT,numero,id_user,ref_client,devicetype,device_describe,type_facture,ref_societe,ref_application,aggregateur_code,statut_operateur,montant_init,code_saphir_v3,periode_facturation,date_enregistrement,numero_recu,dates_flux,sources,archived,,
p0331012417300588065,p0331012417300588065,20240131173005,1,1,10,,222972087000,20000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,44d3e790-03a6-412b-b60f-5f8835c2f021,1,\N,P03,,2024-09-16 10:00:52,7198664901,20240131,SV3,1,,
p0331012417300796788,p0331012417300796788,20240131173007,1,1,10,633367800101202401,218248581000,1425,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,1ca6e2fc-3b68-4dad-be90-2764122157c4,1,\N,P03,,2024-09-16 10:00:52,7198665281,20240131,SV3,1,,
p0331012417303707744,p0331012417303707744,20240131173027,1,1,10,633804780101202401,219081271000,2200,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,c9562145-7ed9-461c-9728-63609ea22faf,1,\N,P03,,2024-09-16 10:00:52,7198670401,20240131,SV3,1,,
p0331012417304750134,p0331012417304750134,20240131173047,1,1,10,014827370112202301,224612881000,2710,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,a0b59757-ab63-40f0-9e57-f248e263dc3a,1,\N,P03,,2024-09-16 10:00:52,7198672331,20240131,SV3,1,,
p0331012417305570425,p0331012417305570425,20240131173055,1,1,10,057674050101202401,244020354000,1200,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,430317fa-ab8f-4cdc-81ba-b9caa3167783,1,\N,P03,,2024-09-16 10:00:52,7198673841,20240131,SV3,1,,
p0331012417324153829,p0331012417324153829,20240131173241,1,1,10,037665690201202401,042378634000,7285,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,72ac4c70-dbc1-47a4-8bf2-6adee9045eee,1,\N,P03,,2024-09-16 10:00:52,7198692821,20240131,SV3,1,,
p0331012417325795117,p0331012417325795117,20240131173248,1,1,10,,241064116000,10000,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,7135eebf-d78a-46f2-9464-6e1f5c46fb8b,1,\N,P03,,2024-09-16 10:00:52,7198695491,20240131,SV3,1,,
p0331012417330725416,p0331012417330725416,20240131173307,1,1,10,022573390101202401,033671097000,4510,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,886949a6-972d-4d0d-b9ff-abf433e0694f,1,\N,P03,,2024-09-16 10:00:52,7198697461,20240131,SV3,1,,
p0331012417331011213,p0331012417331011213,20240131173309,1,1,10,020945410101202401,032355051000,6585,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,dfb4fe26-fa54-4058-ac60-a1ae392db662,1,\N,P03,,2024-09-16 10:00:52,7198698011,20240131,SV3,1,,
p0331012417340432211,p0331012417340432211,20240131173354,1,1,10,001871330112202301,023717185000,70650,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,7bea4518-3fc8-4cfe-98b1-c38f5bedabc9,1,\N,P03,,2024-09-16 10:00:52,7198708461,20240131,SV3,1,,
P0219072110513084773,P0219072110513084773,20210719105130,1,1,13,052021268,441137271000,1140,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,3e6b9646-b2fb-46a1-9abe-671706264a0c,1,\N,P02,,2024-04-15 16:30:03,1626691890029,20210719,SV2,1,,
P0219072110514649181,P0219072110514649181,20210719105146,1,1,13,\N,423136831000,23500,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,aaec4050-d098-4b45-9f31-4b65de17d2a2,1,\N,P02,032021,2024-04-15 16:30:03,1626691906785,20210719,SV2,1,,
P0219072110522483070,P0219072110522483070,20210719105224,1,1,13,052021187,232167252000,7055,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,a280902f-e389-43a2-95fd-f1435464b61e,1,\N,P02,,2024-04-15 16:30:03,1626691944571,20210719,SV2,1,,
P0219072110530142242,P0219072110530142242,20210719105301,1,1,13,052021174,231225981000,28700,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,cfd8cc0c-c4fd-46b0-95b3-13842f78bc83,1,\N,P02,,2024-04-15 16:30:04,1626691981713,20210719,SV2,1,,
P0219072110531145592,P0219072110531145592,20210719105308,1,1,13,052021177,456102551000,33800,\N,000,\N,2,USSD ou AUTRE,0,2,25fdefbcv41rgn8795gml1g4h6vf25de1,6ad3d290-57f5-442c-aa11-bd775b822c94,1,\N,P02,,2024-04-15 16:30:04,1626691988533,20210719,SV2,1,,
